config_id,strategy_key,strategy_label,model_family,balance_strategy,loss_name,negative_ratio,learning_rate,hidden_channels,dropout,threshold,optimizer,screening_epochs,full_validation_epochs,train_ratio,seed,stage,scenario,model_path,cached,training_wall_seconds,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,N_pairs,tp,fp,fn,tn
weighted_bce_lr0p001_h32_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p4/graph_SOR4_D5_seed42.pkl,False,0.974036,0.2,0.2,538.872695,538.872695,0.070518,190,38,152,0,0
weighted_bce_lr0p001_h32_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p4/graph_SOR8_D5_seed42.pkl,False,2.596501,0.213793,0.213793,577.960441,577.960441,0.160911,435,93,342,0,0
weighted_bce_lr0p001_h32_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p4/graph_SOR16_D3_seed42.pkl,False,0.64228,0.215686,0.215686,712.258399,712.258399,0.046332,153,33,120,0,0
weighted_bce_lr0p001_h32_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p4/graph_SOR16_D5_seed42.pkl,False,1.844184,0.213793,0.213793,716.014571,716.014571,0.129886,435,93,342,0,0
weighted_bce_lr0p001_h32_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p5/graph_SOR2_D5_seed42.pkl,False,0.190254,0.666667,0.117647,213.387879,1209.197982,0.02481,45,2,4,11,28
weighted_bce_lr0p001_h32_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p5/graph_SOR4_D5_seed42.pkl,False,0.760321,0.2,0.2,598.894022,598.894022,0.06345,190,38,152,0,0
weighted_bce_lr0p001_h32_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p5/graph_SOR8_D5_seed42.pkl,False,2.512142,0.397701,0.242775,562.815633,921.976414,0.18764,435,84,253,9,89
weighted_bce_lr0p001_h32_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p5/graph_SOR16_D3_seed42.pkl,False,0.876105,0.215686,0.215686,451.742034,451.742034,0.073051,153,33,120,0,0
weighted_bce_lr0p001_h32_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p5/graph_SOR16_D5_seed42.pkl,False,1.966233,0.213793,0.213793,709.737426,709.737426,0.131034,435,93,342,0,0
weighted_bce_lr0p001_h32_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p6/graph_SOR2_D5_seed42.pkl,False,0.180989,0.711111,0.0,0.0,2405.374448,0.013304,45,0,0,13,32
weighted_bce_lr0p001_h32_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p6/graph_SOR4_D5_seed42.pkl,False,0.804986,0.8,0.0,0.0,2838.228041,0.053555,190,0,0,38,152
